,model_type,feature_type,data_type,best_f1,avg_f1,best_accuracy,avg_accuracy,best_params
0,svm,tfidf,abstract,0.63,0.48,0.67,0.53,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
1,svm,tfidf,full_text,0.65,0.56,0.67,0.62,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}"
2,svm,tfidf,sec-name,0.74,0.57,0.75,0.6,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
3,svm,tfidf,sec-text,0.83,0.68,0.83,0.72,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}"
4,svm,bow,abstract,0.6,0.52,0.58,0.55,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}"
5,svm,bow,full_text,0.65,0.63,0.67,0.65,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}"
6,svm,bow,sec-name,0.67,0.48,0.67,0.48,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}"
7,svm,bow,sec-text,0.81,0.66,0.83,0.68,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}"
8,knn,tfidf,abstract,0.56,0.46,0.58,0.48,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}"
9,knn,tfidf,full_text,0.63,0.52,0.67,0.55,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'uniform'}"
10,knn,tfidf,sec-name,0.56,0.48,0.58,0.52,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}"
11,knn,tfidf,sec-text,0.83,0.61,0.83,0.65,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}"
12,knn,bow,abstract,0.7,0.51,0.75,0.57,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}"
13,knn,bow,full_text,0.67,0.49,0.67,0.53,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}"
14,knn,bow,sec-name,0.4,0.36,0.42,0.38,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"
15,knn,bow,sec-text,0.62,0.47,0.67,0.52,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}"
16,bayes,tfidf,abstract,0.64,0.46,0.67,0.5,{'alpha': 10}
17,bayes,tfidf,full_text,0.67,0.6,0.67,0.62,{'alpha': 1.0}
18,bayes,tfidf,sec-name,0.84,0.68,0.83,0.68,{'alpha': 1.0}
19,bayes,tfidf,sec-text,0.84,0.74,0.83,0.75,{'alpha': 0.1}
20,bayes,bow,abstract,0.64,0.56,0.67,0.57,{'alpha': 10}
21,bayes,bow,full_text,0.74,0.67,0.75,0.68,{'alpha': 10}
22,bayes,bow,sec-name,0.76,0.64,0.75,0.65,{'alpha': 0.1}
23,bayes,bow,sec-text,0.81,0.67,0.83,0.7,{'alpha': 1.0}
