,model_name,exp_type,data_type,best_f1,avg_f1,best_accuracy,avg_accuracy
0,sentence-transformers/paraphrase-mpnet-base-v2,text,abstract,0.58,0.46,0.58,0.47
1,sentence-transformers/paraphrase-mpnet-base-v2,text,full_text,0.79,0.77,0.79,0.77
2,sentence-transformers/paraphrase-mpnet-base-v2,text,sec_text,0.78,0.68,0.78,0.69
3,sentence-transformers/paraphrase-mpnet-base-v2,frame,abstract,0.49,0.31,0.5,0.32
4,sentence-transformers/paraphrase-mpnet-base-v2,frame,full_text,0.61,0.58,0.61,0.58
5,sentence-transformers/paraphrase-mpnet-base-v2,frame,sec_text,0.72,0.59,0.72,0.6
6,sentence-transformers/all-mpnet-base-v2,text,abstract,0.57,0.44,0.58,0.45
7,sentence-transformers/all-mpnet-base-v2,text,full_text,0.81,0.77,0.81,0.77
8,sentence-transformers/all-mpnet-base-v2,text,sec_text,0.78,0.67,0.78,0.68
9,sentence-transformers/all-mpnet-base-v2,frame,abstract,0.49,0.31,0.5,0.32
10,sentence-transformers/all-mpnet-base-v2,frame,full_text,0.6,0.58,0.6,0.58
11,sentence-transformers/all-mpnet-base-v2,frame,sec_text,0.72,0.6,0.72,0.6
